                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1978,                 4.8299,                 1.8807,                0.24909,                0.27676,                0.19711,                0.07151,                 2.1792,                  2.528,                  1.858,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.1437,                 2.8067,                 1.8635,                0.54366,                 0.2329,                0.23387,                0.09102,                 2.1026,                 2.3353,                 1.8663,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.1111,                 2.4636,                 1.8323,                0.28772,                0.37118,                0.24552,                0.09573,                 2.0433,                 2.2661,                 1.7743,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.0604,                 2.3313,                 1.8043,                0.59422,                0.24387,                0.27024,                0.11378,                 2.0331,                 2.1688,                 1.7821,              0.0012129,              0.0012129,              0.0012129
                      5,                  2.024,                 2.2337,                  1.769,                0.42336,                0.35955,                0.33763,                0.14365,                 2.0119,                 2.0394,                 1.7491,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9767,                 2.1415,                 1.7447,                0.38147,                0.40167,                0.35336,                0.15811,                 1.9421,                 2.0019,                 1.7013,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.9423,                  2.101,                 1.7127,                0.45519,                0.33797,                0.35468,                0.15201,                 1.9243,                  1.933,                  1.695,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9251,                 2.0308,                 1.6871,                0.42865,                0.43233,                0.38162,                 0.1745,                 1.8953,                 1.8933,                 1.6672,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9027,                 1.9938,                 1.6723,                0.38068,                0.47694,                0.39635,                0.17543,                 1.8903,                 1.8661,                 1.6273,               0.001151,               0.001151,               0.001151
                     10,                 1.8801,                 1.9241,                 1.6522,                0.47251,                0.41925,                0.40883,                0.17891,                  1.907,                 1.8424,                 1.6606,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8645,                 1.8912,                 1.6502,                0.50241,                0.41388,                0.41291,                0.18116,                 1.8561,                 1.8366,                 1.6337,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8544,                 1.8335,                 1.6282,                0.50681,                 0.4153,                0.41202,                0.19029,                 1.8744,                 1.8096,                 1.6316,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8368,                 1.7973,                 1.6211,                 0.4508,                0.47116,                0.43515,                0.18983,                 1.8476,                 1.7821,                 1.6176,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8209,                 1.7924,                 1.6091,                0.49228,                0.47065,                0.44899,                0.20502,                 1.8233,                 1.7549,                 1.6085,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.8077,                 1.7436,                 1.6075,                 0.4156,                0.45953,                0.41838,                0.19422,                 1.8159,                 1.7374,                 1.6142,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.7825,                 1.7261,                 1.5842,                0.50892,                0.49484,                0.48665,                0.21547,                 1.8374,                 1.6698,                 1.6209,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.7859,                 1.6863,                 1.5742,                0.52489,                0.49697,                0.48091,                0.21997,                 1.8478,                 1.6639,                 1.5987,               0.001052,               0.001052,               0.001052
                     18,                 1.7737,                 1.6759,                 1.5663,                0.47751,                0.52546,                0.50047,                0.23072,                 1.8101,                 1.6416,                 1.5725,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.7458,                 1.6355,                 1.5475,                0.53352,                0.48247,                0.49592,                0.22415,                 1.8343,                 1.6666,                 1.5785,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.7409,                 1.6088,                 1.5461,                0.46844,                0.52228,                0.49049,                0.23109,                 1.8248,                 1.6291,                 1.5923,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.7245,                 1.5786,                 1.5328,                0.49154,                0.53195,                0.49505,                0.23456,                 1.8143,                 1.5885,                 1.5534,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7184,                 1.5544,                 1.5264,                0.47912,                0.50859,                0.49573,                0.23364,                 1.8169,                 1.5957,                  1.594,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.7115,                 1.5476,                 1.5237,                0.49333,                0.56899,                0.53848,                0.25003,                 1.7999,                 1.5397,                 1.5696,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.7027,                 1.5293,                 1.5116,                0.60948,                0.51039,                0.56687,                0.25744,                 1.8057,                 1.4881,                 1.5696,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.6785,                 1.4873,                 1.4963,                0.52212,                0.54222,                0.53172,                0.24758,                 1.8097,                 1.5206,                 1.5528,               0.000953,               0.000953,               0.000953
                     26,                 1.6706,                 1.4724,                 1.4911,                0.55646,                0.51576,                0.51776,                0.23849,                 1.8156,                  1.563,                 1.5737,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.6709,                 1.4662,                 1.4852,                 0.6035,                0.51815,                0.55918,                0.25333,                 1.8266,                 1.4898,                 1.5723,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.6641,                 1.4424,                 1.4907,                0.55918,                0.56037,                0.56592,                0.26397,                 1.7918,                 1.5032,                 1.5777,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.6444,                 1.4171,                 1.4785,                0.54683,                0.54103,                0.54936,                 0.2485,                 1.8348,                 1.4805,                 1.5823,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.6533,                 1.4008,                 1.4722,                0.57419,                0.57252,                0.57071,                0.26046,                 1.8522,                 1.4533,                 1.6086,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.6314,                 1.3684,                 1.4596,                0.58456,                0.55693,                 0.5864,                0.26992,                 1.8319,                 1.4458,                 1.5684,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.6155,                 1.3462,                 1.4438,                0.64711,                0.53867,                0.59283,                0.28184,                 1.8195,                   1.44,                 1.5827,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.6004,                 1.3271,                 1.4404,                 0.5636,                 0.5939,                0.59172,                0.27241,                  1.807,                 1.4081,                 1.5717,               0.000854,               0.000854,               0.000854
                     34,                 1.5934,                 1.3213,                  1.429,                0.52314,                0.60324,                0.58307,                0.26982,                 1.8101,                 1.4474,                 1.5664,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.5985,                 1.3285,                 1.4319,                0.57015,                 0.5715,                0.58174,                0.27571,                 1.7958,                 1.4148,                 1.5474,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.5849,                 1.2841,                 1.4159,                0.56911,                 0.5688,                0.58481,                0.28206,                 1.7972,                 1.4274,                 1.5699,             0.00081688,             0.00081688,             0.00081688
                     37,                  1.569,                 1.2521,                 1.4012,                0.62663,                0.55556,                0.59884,                0.28883,                 1.7893,                 1.3837,                 1.5509,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.5635,                 1.2722,                 1.4072,                0.61284,                0.56736,                0.60346,                0.28606,                 1.7955,                 1.3808,                 1.5553,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.5608,                 1.2397,                 1.3998,                0.61301,                0.58523,                0.61265,                0.28982,                  1.777,                 1.3439,                 1.5432,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.5509,                 1.2405,                 1.3988,                0.61074,                0.60389,                0.61657,                0.29186,                 1.8083,                 1.3514,                 1.5468,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.5322,                 1.2207,                 1.3861,                0.58291,                0.60739,                0.61152,                0.28837,                 1.7865,                  1.371,                 1.5539,               0.000755,               0.000755,               0.000755
                     42,                 1.5327,                 1.2043,                  1.388,                0.60586,                0.60505,                0.60972,                0.28555,                 1.8144,                 1.3652,                 1.5703,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.5268,                 1.1954,                 1.3786,                0.62024,                0.58533,                0.59919,                0.28347,                 1.8274,                 1.3498,                 1.5697,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.4992,                 1.1659,                 1.3702,                0.61826,                0.59801,                0.61211,                 0.2868,                 1.8179,                  1.352,                 1.5617,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.4996,                 1.1698,                 1.3654,                 0.6149,                0.60377,                0.62884,                0.30296,                 1.7967,                 1.3105,                 1.5331,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.4859,                 1.1442,                 1.3436,                0.59421,                0.59845,                0.61728,                0.29379,                 1.8058,                 1.3317,                  1.545,             0.00069313,             0.00069313,             0.00069313
                     47,                  1.481,                  1.133,                 1.3399,                0.61809,                 0.5895,                0.62936,                0.29428,                 1.8395,                 1.3172,                 1.5615,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.4735,                  1.127,                 1.3385,                0.59754,                0.60826,                0.61177,                0.29031,                 1.8129,                 1.3485,                 1.5715,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.4725,                 1.1103,                 1.3369,                0.59336,                0.60528,                 0.6246,                0.29552,                 1.8154,                 1.3254,                 1.5609,               0.000656,               0.000656,               0.000656
                     50,                 1.4756,                 1.1049,                  1.336,                0.62796,                0.62065,                0.63887,                0.30146,                  1.823,                 1.2925,                 1.5693,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.4586,                 1.1044,                 1.3241,                0.61913,                0.63417,                0.64891,                0.31123,                 1.7988,                 1.2848,                  1.553,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.4473,                 1.0818,                 1.3221,                0.62057,                0.64331,                0.64804,                 0.3036,                 1.8238,                 1.2974,                  1.594,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.4308,                 1.0616,                 1.3079,                 0.6276,                0.61506,                0.62197,                0.29393,                 1.8458,                 1.3215,                 1.5799,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.4323,                 1.0559,                 1.3095,                0.62226,                0.62147,                0.63129,                0.29612,                  1.841,                 1.2893,                 1.5844,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.4297,                 1.0474,                 1.3067,                0.66151,                0.62137,                0.64778,                0.30954,                 1.8178,                  1.284,                 1.5846,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.4132,                 1.0359,                 1.2952,                0.60453,                0.62204,                0.63382,                0.30428,                 1.8139,                 1.2918,                 1.5731,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.4134,                  1.023,                 1.2938,                0.63145,                0.63549,                0.65314,                0.30963,                 1.8275,                 1.2876,                 1.5824,               0.000557,               0.000557,               0.000557
                     58,                 1.4035,                 1.0234,                 1.2912,                0.64278,                 0.6269,                0.64847,                0.30982,                 1.8255,                  1.266,                 1.5717,             0.00054463,             0.00054463,             0.00054463
                     59,                  1.388,                 1.0013,                 1.2701,                 0.6376,                0.63577,                0.64749,                  0.312,                 1.8132,                 1.2671,                 1.5655,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.3816,                0.99465,                 1.2761,                0.60079,                0.65241,                0.63358,                0.30753,                 1.8519,                  1.278,                 1.6012,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.3725,                0.98324,                 1.2654,                0.62105,                 0.6409,                0.66552,                0.31839,                 1.8424,                 1.2625,                 1.5965,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.3718,                0.97161,                 1.2713,                0.67393,                0.63793,                0.66313,                0.31739,                 1.8341,                 1.2373,                 1.5928,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.3602,                0.97874,                 1.2595,                0.61846,                0.64538,                0.64638,                0.31092,                 1.8258,                 1.2569,                 1.5739,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.3454,                0.96179,                 1.2526,                0.66089,                0.62549,                0.65198,                0.30716,                 1.8466,                 1.2734,                 1.5913,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.3444,                0.94597,                  1.246,                0.63508,                0.64747,                0.65027,                0.31315,                 1.8311,                  1.293,                 1.5839,               0.000458,               0.000458,               0.000458
                     66,                 1.3403,                0.94202,                 1.2433,                0.66096,                0.61116,                0.65411,                0.31839,                 1.8198,                 1.2635,                   1.57,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.3339,                0.94489,                  1.241,                0.62546,                0.65137,                 0.6561,                0.31268,                 1.8235,                  1.272,                 1.5789,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.3153,                0.93284,                   1.23,                0.65159,                 0.6446,                0.66119,                0.31169,                 1.8139,                 1.2966,                 1.5797,             0.00042087,             0.00042087,             0.00042087
                     69,                  1.313,                0.91437,                 1.2264,                0.63958,                0.61717,                0.64778,                0.31252,                 1.8173,                 1.2722,                 1.5889,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.3128,                0.92236,                 1.2275,                0.65665,                0.63362,                0.65549,                0.31703,                 1.8222,                 1.2543,                 1.5941,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.2954,                0.89386,                 1.2161,                0.68734,                0.61296,                0.66529,                0.31842,                 1.8232,                 1.2826,                 1.5738,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.2958,                0.89029,                 1.2134,                0.68472,                0.62672,                0.66632,                0.31582,                 1.8456,                 1.2748,                 1.5866,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.2817,                0.88846,                 1.2096,                0.64219,                0.65521,                0.66636,                0.31489,                 1.8406,                  1.277,                 1.5986,               0.000359,               0.000359,               0.000359
                     74,                 1.2799,                0.88732,                 1.2063,                0.69277,                0.60677,                0.65295,                0.31275,                 1.8499,                 1.2658,                 1.6007,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.2691,                0.88387,                 1.2022,                 0.6828,                0.63864,                0.66047,                0.31258,                  1.858,                 1.2556,                 1.6018,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.2687,                0.87386,                 1.1986,                0.66396,                0.66646,                0.67148,                0.31375,                 1.8627,                 1.2507,                 1.6144,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.2575,                0.85229,                 1.1875,                 0.6348,                 0.6377,                0.64813,                0.31138,                 1.8582,                 1.2627,                 1.6187,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.2582,                0.86333,                 1.1933,                0.64944,                0.64755,                0.65345,                0.30829,                 1.8698,                 1.2747,                 1.6002,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.2504,                0.85248,                  1.183,                0.65609,                0.63766,                0.66205,                0.31241,                 1.8611,                 1.2424,                 1.6048,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.2454,                0.84607,                 1.1861,                0.66795,                 0.6242,                0.66261,                0.31299,                 1.8634,                 1.2502,                 1.6088,             0.00027237,             0.00027237,             0.00027237
                     81,                  1.237,                0.84198,                  1.179,                0.66305,                0.63713,                 0.6685,                0.31248,                 1.8801,                 1.2542,                 1.6173,                0.00026,                0.00026,                0.00026
                     82,                 1.2215,                0.82383,                  1.171,                0.66987,                0.64904,                0.67436,                0.31885,                 1.8824,                 1.2373,                 1.6139,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.2189,                0.82959,                 1.1699,                0.65241,                0.65271,                0.66971,                0.31589,                 1.8679,                 1.2337,                 1.6076,             0.00023525,             0.00023525,             0.00023525
                     84,                  1.224,                0.82747,                 1.1711,                0.66579,                0.63846,                0.66489,                0.31604,                  1.868,                 1.2506,                  1.613,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.2007,                0.82237,                 1.1675,                0.65044,                 0.6411,                0.66377,                0.31769,                 1.8693,                  1.249,                 1.6191,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.2051,                0.80954,                 1.1582,                0.68018,                0.62354,                0.66438,                0.31645,                 1.8692,                  1.245,                 1.6198,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.1912,                0.80465,                 1.1559,                0.66875,                0.62064,                0.66429,                0.31766,                  1.869,                 1.2509,                 1.6062,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.1838,                 0.8097,                 1.1495,                0.68223,                0.61541,                0.66273,                0.31546,                 1.8698,                 1.2548,                 1.6056,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.1828,                 0.8025,                 1.1534,                0.66029,                0.62362,                0.66253,                 0.3146,                 1.8718,                 1.2441,                 1.6145,               0.000161,               0.000161,               0.000161
                     90,                 1.1765,                0.79261,                 1.1449,                 0.6792,                0.64126,                0.66405,                 0.3113,                 1.8729,                 1.2408,                 1.6162,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.1354,                0.70164,                 1.1355,                0.66741,                0.65271,                0.67083,                0.31157,                 1.8678,                 1.2457,                  1.614,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.1088,                0.67142,                  1.116,                0.65037,                0.65695,                0.66496,                0.31272,                 1.8679,                 1.2412,                 1.6147,             0.00012387,             0.00012387,             0.00012387
                     93,                  1.099,                0.65294,                 1.1102,                0.65964,                0.63596,                0.66197,                0.30869,                 1.8818,                 1.2459,                 1.6241,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.0884,                0.65347,                 1.1086,                0.66265,                0.63724,                0.67271,                0.31325,                 1.8822,                 1.2469,                 1.6218,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.0746,                0.64053,                  1.099,                0.65814,                0.63815,                0.66672,                0.31073,                 1.8817,                 1.2442,                 1.6227,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.0742,                0.63816,                 1.0977,                0.65378,                0.64651,                0.66123,                0.31258,                 1.8856,                 1.2607,                   1.63,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.0512,                0.62953,                 1.0902,                0.64277,                0.64878,                0.65894,                0.31175,                 1.8896,                 1.2663,                 1.6315,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.0563,                 0.6263,                 1.0922,                0.65456,                0.65121,                0.66546,                0.31127,                 1.8935,                 1.2677,                 1.6414,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.0609,                0.63238,                 1.0964,                0.65441,                0.64953,                0.66452,                0.31175,                 1.8916,                 1.2662,                 1.6416,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 1.0366,                 0.6122,                 1.0842,                0.65259,                0.63331,                0.65972,                 0.3136,                 1.8898,                 1.2653,                 1.6426,             2.4875e-05,             2.4875e-05,             2.4875e-05
